Name,Followers,Engagement Rate,Avg Likes,Avg Comments,Category,Platform
AadiAchint,58801,3.49%,341,69,"Tech, AI",X
StateDept,6586401,0.42%,5006,474,"Politics, Finance",X
ChristianHeiens,86797,24.96%,4134,199,"Politics, Tech",X
krakenfx,1727107,0.14%,431,61,"Crypto, Finance",X
tyleroakley,4256756,0.01%,45,0,"Tech, Politics",X
kay_dub_h,21306,34.88%,1402,84,"Crypto, Finance",X
Honeyfarsafi,323508,12.11%,7704,133,"Politics, Tech",X
_James041,90451,23.87%,4229,88,"Politics, Tech",X
GTreasury,10301,71.91%,1432,49,"Finance, AI",X
BoHines,119945,2.05%,456,35,"Finance, Crypto",X
Lagarde,814211,0.36%,407,183,"Crypto, Finance",X
RayDalio,1852514,0.73%,2549,165,"Politics, Finance",X
SecYellen,367485,5.53%,3357,705,"Politics, Finance",X
paulkrugman,4151213,0.03%,270,0,"Politics, Finance",X
Nouriel,582090,0.17%,178,19,"Finance, Politics",X
BillAckman,1951655,0.68%,2144,496,"Politics, Tech",X
CaitlinLong_,249538,0.23%,91,24,"Crypto, Tech",X
HowardMarksBook,200363,0.00%,0,0,"AI, Tech",X
CathieDWood,1975413,0.03%,103,9,"AI, Politics",X
elerianm,802937,0.29%,426,40,"Politics, Finance",X
IMFNews,2352720,0.07%,315,13,"Politics, Finance",X
Lagarde,814211,0.36%,407,183,"Crypto, Finance",X
SecYellen,367485,5.53%,3357,705,"Politics, Finance",X
federalreserve,1434080,0.20%,502,58,"Politics, Finance",X
LHSummers,373164,0.81%,345,258,"AI, Politics",X
paulkrugman,4151213,0.03%,270,0,"Politics, Finance",X
Nouriel,582090,0.17%,178,19,"Finance, Politics",X
TheEconomist,25803946,0.02%,794,136,"AI, Politics",X
cz_binance,10724470,0.79%,13237,3785,"Crypto, AI",X
reece_merrick,16245,31.87%,1005,30,"Tech, Crypto",X
WatcherGuru,3720103,1.23%,8544,601,"Crypto, Finance",X
saylor,4825763,2.94%,21958,6378,"Crypto, Tech",X
VitalikButerin,5882082,0.16%,1484,346,"Crypto, Politics",X
aantonop,780244,1.43%,2236,0,"Crypto, AI",X
CathieDWood,1975418,0.03%,103,9,"AI, Politics",X
balajis,1273209,0.55%,1270,122,"Tech, AI",X
RaoulGMI,1292595,0.76%,1800,177,"Crypto, Tech",X
jerallaire,168247,0.14%,38,8,"Crypto, Tech",X
APompliano,1854706,3.83%,12104,2113,"AI, Politics",X
ninjaaitools,390810,0.75%,226,359,"Tech, AI",Instagram
winkguys,327620,0.34%,0,222,"AI, Politics",Instagram
chatgptips,590310,9.78%,11457,86,"AI, Tech",Instagram
ai_wealth,112115,457.56%,102499,101,"Finance, AI",Instagram
artificialintelligencefacts,133558,3.21%,840,17,"Tech, AI",Instagram
thesocialabhii,48431,1.96%,146,43,"AI, Finance",Instagram
chriswinfield,323986,7.89%,4987,126,"AI, Tech",Instagram
nickismeta,154668,0.14%,38,5,"AI, Finance",Instagram
mr.grateful,278575,1.40%,1757,191,"AI, Finance",Instagram
tiffintech,742595,20.74%,30613,195,"AI, Tech",Instagram
sundaskhalidd,318980,10.95%,6658,331,"AI, Tech",Instagram
melrobbins,136909,8.34%,10836,584,"AI, Finance",Instagram
alliekmiller,136909,2.50%,701,155,"AI, Tech",Instagram
